fold	case	role
1	HCCMRIATLAS_0013	validation
1	HCCMRIATLAS_0020	validation
1	HCCMRIATLAS_0021	validation
1	HCCMRIATLAS_0025	validation
1	HCCMRIATLAS_0026	validation
1	HCCMRIATLAS_0027	validation
1	HCCMRIATLAS_0040	validation
1	HCCMRIATLAS_0041	validation
1	HCCMRIATLAS_0044	validation
1	HCCMRIATLAS_0049	validation
2	HCCMRIATLAS_0002	train
2	HCCMRIATLAS_0003	train
2	HCCMRIATLAS_0007	train
2	HCCMRIATLAS_0008	train
2	HCCMRIATLAS_0009	train
2	HCCMRIATLAS_0010	train
2	HCCMRIATLAS_0011	train
2	HCCMRIATLAS_0012	train
2	HCCMRIATLAS_0013	train
2	HCCMRIATLAS_0014	train
2	HCCMRIATLAS_0015	train
2	HCCMRIATLAS_0017	train
2	HCCMRIATLAS_0018	train
2	HCCMRIATLAS_0019	train
2	HCCMRIATLAS_0020	train
2	HCCMRIATLAS_0021	train
2	HCCMRIATLAS_0022	train
2	HCCMRIATLAS_0023	train
2	HCCMRIATLAS_0024	train
2	HCCMRIATLAS_0025	train
2	HCCMRIATLAS_0026	train
2	HCCMRIATLAS_0027	train
2	HCCMRIATLAS_0028	train
2	HCCMRIATLAS_0030	train
2	HCCMRIATLAS_0031	train
2	HCCMRIATLAS_0033	train
2	HCCMRIATLAS_0035	train
2	HCCMRIATLAS_0036	train
2	HCCMRIATLAS_0037	train
2	HCCMRIATLAS_0038	train
2	HCCMRIATLAS_0039	train
2	HCCMRIATLAS_0040	train
2	HCCMRIATLAS_0041	train
2	HCCMRIATLAS_0042	train
2	HCCMRIATLAS_0043	train
2	HCCMRIATLAS_0044	train
2	HCCMRIATLAS_0045	train
2	HCCMRIATLAS_0046	train
2	HCCMRIATLAS_0048	train
2	HCCMRIATLAS_0049	train
2	HCCMRIATLAS_0050	train
2	HCCMRIATLAS_0051	train
2	HCCMRIATLAS_0054	train
2	HCCMRIATLAS_0055	train
2	HCCMRIATLAS_0057	train
2	HCCMRIATLAS_0058	train
2	HCCMRIATLAS_0059	train
2	HCCMRIATLAS_0060	train
2	HCCMRIATLAS_0001	validation
2	HCCMRIATLAS_0004	validation
2	HCCMRIATLAS_0005	validation
2	HCCMRIATLAS_0006	validation
2	HCCMRIATLAS_0016	validation
2	HCCMRIATLAS_0029	validation
2	HCCMRIATLAS_0032	validation
2	HCCMRIATLAS_0034	validation
2	HCCMRIATLAS_0047	validation
2	HCCMRIATLAS_0052	validation
2	HCCMRIATLAS_0053	validation
2	HCCMRIATLAS_0056	validation
3	HCCMRIATLAS_0001	train
3	HCCMRIATLAS_0002	train
3	HCCMRIATLAS_0003	train
3	HCCMRIATLAS_0004	train
3	HCCMRIATLAS_0005	train
3	HCCMRIATLAS_0006	train
3	HCCMRIATLAS_0007	train
3	HCCMRIATLAS_0009	train
3	HCCMRIATLAS_0013	train
3	HCCMRIATLAS_0015	train
3	HCCMRIATLAS_0016	train
3	HCCMRIATLAS_0020	train
3	HCCMRIATLAS_0021	train
3	HCCMRIATLAS_0022	train
3	HCCMRIATLAS_0023	train
3	HCCMRIATLAS_0025	train
3	HCCMRIATLAS_0026	train
3	HCCMRIATLAS_0027	train
3	HCCMRIATLAS_0029	train
3	HCCMRIATLAS_0030	train
3	HCCMRIATLAS_0031	train
3	HCCMRIATLAS_0032	train
3	HCCMRIATLAS_0033	train
3	HCCMRIATLAS_0034	train
3	HCCMRIATLAS_0035	train
3	HCCMRIATLAS_0036	train
3	HCCMRIATLAS_0037	train
3	HCCMRIATLAS_0038	train
3	HCCMRIATLAS_0040	train
3	HCCMRIATLAS_0041	train
3	HCCMRIATLAS_0042	train
3	HCCMRIATLAS_0043	train
3	HCCMRIATLAS_0044	train
3	HCCMRIATLAS_0045	train
3	HCCMRIATLAS_0046	train
3	HCCMRIATLAS_0047	train
3	HCCMRIATLAS_0048	train
3	HCCMRIATLAS_0049	train
3	HCCMRIATLAS_0050	train
3	HCCMRIATLAS_0051	train
3	HCCMRIATLAS_0052	train
3	HCCMRIATLAS_0053	train
3	HCCMRIATLAS_0054	train
3	HCCMRIATLAS_0056	train
3	HCCMRIATLAS_0057	train
3	HCCMRIATLAS_0058	train
3	HCCMRIATLAS_0059	train
3	HCCMRIATLAS_0060	train
3	HCCMRIATLAS_0008	validation
3	HCCMRIATLAS_0010	validation
3	HCCMRIATLAS_0011	validation
3	HCCMRIATLAS_0012	validation
3	HCCMRIATLAS_0014	validation
3	HCCMRIATLAS_0017	validation
3	HCCMRIATLAS_0018	validation
3	HCCMRIATLAS_0019	validation
3	HCCMRIATLAS_0024	validation
3	HCCMRIATLAS_0028	validation
3	HCCMRIATLAS_0039	validation
3	HCCMRIATLAS_0055	validation
4	HCCMRIATLAS_0001	train
4	HCCMRIATLAS_0003	train
4	HCCMRIATLAS_0004	train
4	HCCMRIATLAS_0005	train
4	HCCMRIATLAS_0006	train
4	HCCMRIATLAS_0007	train
4	HCCMRIATLAS_0008	train
4	HCCMRIATLAS_0009	train
4	HCCMRIATLAS_0010	train
4	HCCMRIATLAS_0011	train
4	HCCMRIATLAS_0012	train
4	HCCMRIATLAS_0013	train
4	HCCMRIATLAS_0014	train
4	HCCMRIATLAS_0016	train
4	HCCMRIATLAS_0017	train
4	HCCMRIATLAS_0018	train
4	HCCMRIATLAS_0019	train
4	HCCMRIATLAS_0020	train
4	HCCMRIATLAS_0021	train
4	HCCMRIATLAS_0022	train
4	HCCMRIATLAS_0023	train
4	HCCMRIATLAS_0024	train
4	HCCMRIATLAS_0025	train
4	HCCMRIATLAS_0026	train
4	HCCMRIATLAS_0027	train
4	HCCMRIATLAS_0028	train
4	HCCMRIATLAS_0029	train
4	HCCMRIATLAS_0031	train
4	HCCMRIATLAS_0032	train
4	HCCMRIATLAS_0033	train
4	HCCMRIATLAS_0034	train
4	HCCMRIATLAS_0036	train
4	HCCMRIATLAS_0039	train
4	HCCMRIATLAS_0040	train
4	HCCMRIATLAS_0041	train
4	HCCMRIATLAS_0043	train
4	HCCMRIATLAS_0044	train
4	HCCMRIATLAS_0045	train
4	HCCMRIATLAS_0046	train
4	HCCMRIATLAS_0047	train
4	HCCMRIATLAS_0048	train
4	HCCMRIATLAS_0049	train
4	HCCMRIATLAS_0051	train
4	HCCMRIATLAS_0052	train
4	HCCMRIATLAS_0053	train
4	HCCMRIATLAS_0054	train
4	HCCMRIATLAS_0055	train
4	HCCMRIATLAS_0056	train
4	HCCMRIATLAS_0002	validation
4	HCCMRIATLAS_0015	validation
4	HCCMRIATLAS_0030	validation
4	HCCMRIATLAS_0035	validation
4	HCCMRIATLAS_0037	validation
4	HCCMRIATLAS_0038	validation
4	HCCMRIATLAS_0042	validation
4	HCCMRIATLAS_0050	validation
4	HCCMRIATLAS_0057	validation
4	HCCMRIATLAS_0058	validation
4	HCCMRIATLAS_0059	validation
4	HCCMRIATLAS_0060	validation
